Req ID,Source,Section,Subsection,Subsection Title,Specification,Simple Description,Relation To,Milestone,Timing/Deadline,Category,Deliverable Type,Responsibility,Notes,Due Date,Status,Status Notes,Location,WSDOT Lead,Column1
872-001,CO 172 WABS ATM VMS Extended Warranty,2.18 Intelligent Transportation Systems,2.18,Extended Warranty for ATM Signs,"This change order provides an extended warranty for three (3) years from Physical Completion for ATM signs 520vm00122, 520lc00215, 520lc00214, 520lc00216, 520lcs00171, 520lc00172, 520lc00173, 520lc00120 and 520lc00121.",Provide 3-year extended warranty for nine ATM signs on West Approach Bridge South,For,Handover,For three years from Physical Completion,Warranty,Warranties & Certifications,Design-Builder,"Added by CO 172 (Doc 872). Extended 3-year warranty period for nine specific ATM signs: 520vm00122, 520lc00215, 520lc00214, 520lc00216, 520lcs00171, 520lc00172, 520lc00173, 520lc00120, and 520lc00121. Resolves Non-Conformance Issues (NCI) 202, 203, 204, and 207. Warranty begins at Physical Completion and extends for 3 years.",,,,,,
120-001,Amendments to the Standard Specifications,1-07 Legal Relations and Responsibilities to the Public,1-07.18,Public Liability and Property Damage Insurance,This policy shall be kept in force from the execution date of the Contract until the Physical Completion Date.,Maintain public liability and property damage insurance policy,Until,Physical Completion,Until Physical Completion,Administrative & Financial,Insurance/Bonds,Design-Builder,Insurance requirement continuing through Physical Completion milestone,,,,,,
120-002,Amendments to the Standard Specifications,1-07 Legal Relations and Responsibilities to the Public,1-07.5(3),State Department of Ecology,"Once Physical Completion has been given, prepare a Notice of Termination (Ecology Form ECY 020-87) and submit the Notice of Termination electronically to the Engineer in a PDF format a minimum of 7 calendar days prior to submitting the Notice of Termination to Ecology.",Prepare and submit Notice of Termination to Engineer,Prior to,Physical Completion,Prior to Physical Completion,Documentation,Reports,Design-Builder,Submit to Engineer minimum 7 calendar days before submitting to Ecology; Ecology Form ECY 020-87,,,,,,
120-003,Amendments to the Standard Specifications,1-07 Legal Relations and Responsibilities to the Public,1-07.5(3),State Department of Ecology,Transfer the CSWGP coverage to the Contracting Agency when Physical Completion has been given and the Engineer has determined that the project site is not stabilized from erosion.,Transfer CSWGP coverage to Contracting Agency if site not stabilized,Upon,Physical Completion,Upon Physical Completion,Administrative & Financial,Permits/Approvals,Design-Builder,Only required when site is not stabilized from erosion as determined by Engineer,,,,,,
120-004,Amendments to the Standard Specifications,8-01 Erosion Control and Water Pollution Control,8-01.3(16),Removal,"The Contractor shall remove all temporary BMPs, all associated hardware and associated accumulated sediment deposition from the project limits prior to Physical Completion unless otherwise allowed by the Engineer.",Remove all temporary BMPs and associated materials from project limits,Prior to,Physical Completion,Prior to Physical Completion,Physical Work,Physical Work Completion,Design-Builder,Includes removal of hardware and accumulated sediment; may be allowed to remain if made of natural plant fibers unaltered by synthetic materials with Engineer approval,,,,,,
007-001,WSDOT Identified Betterments (Exhibit B),Exhibit B - WSDOT Identified Betterments,Item 5,Closeout Staffing and Final Design Documents,The Design-Builder commits to staffing the closeout process through the Project and to provide Final Design Documents within 90 Calendar Days after Physical Completion (See Page 3-7 of the Proposal).,Provide Final Design Documents within 90 days after Physical Completion,After,Physical Completion,Within 90 Calendar Days after Physical Completion,Documentation,Design Documents/Calculations,Design-Builder,Part of WSDOT Identified Betterments from Design-Builder's Proposal; includes commitment to staff closeout process; found via milestone trigger phrase,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
